,Investors,Company Name,Company URL,Role,Sweet Spot,Range,Location,Categories
10,Gopi Rangan,Sure,https://signal.nfx.com/firms/sure,General Partner,$250K,($250K - $250K),Investors in United States,"Investors in AI (Pre-seed), Investors in Cloud Infrastructure (Pre-seed), Investors in FinTech (Pre-seed), Investors in Future of Work (Pre-seed), Investors in Human Capital/HRTech (Pre-seed), Investors in Insurance (Pre-seed), Investors in LegalTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in TransportationTech (Pre-seed), Investors in Wellness & Fitness (Pre-seed), Investors in AI (Seed), Investors in Cloud Infrastructure (Seed), Investors in FinTech (Seed), Investors in Future of Work (Seed), Investors in Human Capital/HRTech (Seed), Investors in Insurance (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in TransportationTech (Seed), Investors in Wellness & Fitness (Seed), Investors in Diverse Investors (Other Lists), Investors in San Francisco Bay Area (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
11,Alexis Teplitchi,Pantera Capital,https://signal.nfx.com/firms/pantera-capital,Investor,$20.5M,($1M - $40.0M),Investors in Paris (France),"Investors in Enterprise Applications (Seed), Investors in Enterprise (Seed), Investors in FinTech (Seed), Investors in Human Capital/HRTech (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in Web3/Blockchain (Seed), Investors in Web3/Crypto (Seed), Investors in Enterprise Applications (Series A), Investors in Enterprise (Series A), Investors in FinTech (Series A), Investors in Human Capital/HRTech (Series A), Investors in LegalTech (Series A), Investors in SaaS (Series A), Investors in Web3/Blockchain (Series A), Investors in Web3/Crypto (Series A), Investors in Angel, Scout, and Solo-Capitalists (Other Lists)"
12,Gil Penchina,Ridge Ventures (Formerly known as IDG Ventures USA),https://signal.nfx.com/firms/ridge-ventures,Venture Partner,$2.0M,($100K - $6.0M),Investors in New York (NY),"Investors in E-commerce (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Lodging/Hospitality (Pre-seed), Investors in Logistics (Pre-seed), Investors in Messaging (Pre-seed), Investors in Robotics (Pre-seed), Investors in Web3/Blockchain (Pre-seed), Investors in Web3/Crypto (Pre-seed), Investors in E-commerce (Seed), Investors in LegalTech (Seed), Investors in Lodging/Hospitality (Seed), Investors in Logistics (Seed), Investors in Messaging (Seed), Investors in Robotics (Seed), Investors in Web3/Blockchain (Seed), Investors in Web3/Crypto (Seed), Investors in New York City (Other Lists), Investors in New York City (Other Lists)"
13,Philippe Roche,Inovexus,https://signal.nfx.com/firms/inovexus,Managing Partner,$150,($150 - $1.5M),Investors in Europe,"Investors in AgTech (Pre-seed), Investors in AI (Pre-seed), Investors in AR/VR (Pre-seed), Investors in Cybersecurity (Pre-seed), Investors in DeepTech (Pre-seed), Investors in Future of Work (Pre-seed), Investors in Health IT (Pre-seed), Investors in IoT (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Web3/Crypto (Pre-seed), Investors in AgTech (Seed), Investors in AI (Seed), Investors in AR/VR (Seed), Investors in Cybersecurity (Seed), Investors in DeepTech (Seed), Investors in Future of Work (Seed), Investors in Health IT (Seed), Investors in IoT (Seed), Investors in LegalTech (Seed), Investors in Web3/Crypto (Seed), Investors in Diverse Investors (Other Lists), Investors in Los Angeles / Southern California (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
14,Rex Salisbury,Cambrian Ventures,https://signal.nfx.com/firms/cambrian-ventures,General Partner,$600K,($600K - $600K),"Investors in New York (NY),","Investors in ConstructionTech (Pre-seed), Investors in Creator/Passion Economy (Pre-seed), Investors in FinTech (Pre-seed), Investors in Insurance (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Payments (Pre-seed), Investors in Real Estate/PropTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in SMB Software (Pre-seed), Investors in ConstructionTech (Seed), Investors in Creator/Passion Economy (Seed), Investors in FinTech (Seed), Investors in Insurance (Seed), Investors in LegalTech (Seed), Investors in Payments (Seed), Investors in Real Estate/PropTech (Seed), Investors in SaaS (Seed), Investors in SMB Software (Seed), Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in New York City (Other Lists), Investors in San Francisco Bay Area (Other Lists), Investors in San Francisco Bay Area (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
15,Daniel Recanati,Rhodium,https://signal.nfx.com/firms/rhodium,Managing Partner,$500K,($50K - $5.0M),"Investors in New York,","Investors in Advertising (Pre-seed), Investors in AI (Pre-seed), Investors in AutoTech (Pre-seed), Investors in Consumer Internet (Pre-seed), Investors in Cybersecurity (Pre-seed), Investors in E-commerce (Pre-seed), Investors in Games (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Robotics (Pre-seed), Investors in Web3/Blockchain (Pre-seed), Investors in Advertising (Seed), Investors in AI (Seed), Investors in AutoTech (Seed), Investors in Consumer Internet (Seed), Investors in Cybersecurity (Seed), Investors in E-commerce (Seed), Investors in Games (Seed), Investors in LegalTech (Seed), Investors in Robotics (Seed), Investors in Web3/Blockchain (Seed), Investors in Advertising (Series A), Investors in AI (Series A), Investors in AutoTech (Series A), Investors in Consumer Internet (Series A), Investors in Cybersecurity (Series A), Investors in E-commerce (Series A), Investors in Games (Series A), Investors in LegalTech (Series A), Investors in Robotics (Series A), Investors in Web3/Blockchain (Series A), Investors in Israel (Other Lists), Investors in Israel (Other Lists), Investors in Investors who invested in diverse founders (Other Lists)"
16,Janine Sickmeyer,Overlooked Ventures,https://signal.nfx.com/firms/overlooked-ventures,General Partner,$250K,($100K - $500K),Investors in Columbus (OH),"Investors in ClimateTech/CleanTech (Seed), Investors in Consumer Internet (Seed), Investors in Enterprise (Seed), Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in MarketingTech (Seed), Investors in SaaS (Seed), Investors in Social Commerce (Seed), Investors in ClimateTech/CleanTech (Series A), Investors in Consumer Internet (Series A), Investors in Enterprise (Series A), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in MarketingTech (Series A), Investors in SaaS (Series A), Investors in Social Commerce (Series A), Investors in ClimateTech/CleanTech (Series B), Investors in Consumer Internet (Series B), Investors in Enterprise (Series B), Investors in FinTech (Series B), Investors in LegalTech (Series B), Investors in MarketingTech (Series B), Investors in SaaS (Series B), Investors in Social Commerce (Series B), Investors in Angel, Scout, and Solo-Capitalists (Other Lists)"
17,Faisal Al Hammadi,Further Ventures,https://signal.nfx.com/firms/further-ventures,Managing Partner,$1.5M,($100K - $5.0M),Investors in Middle East,"Investors in AI (Pre-seed), Investors in BioTech (Pre-seed), Investors in ConstructionTech (Pre-seed), Investors in FinTech (Pre-seed), Investors in Health IT (Pre-seed), Investors in LegalTech (Pre-seed), Investors in MarketingTech (Pre-seed), Investors in Pharmaceuticals (Pre-seed), Investors in Supply Chain Tech (Pre-seed), Investors in Therapeutics (Pre-seed), Investors in AI (Seed), Investors in BioTech (Seed), Investors in ConstructionTech (Seed), Investors in FinTech (Seed), Investors in Health IT (Seed), Investors in LegalTech (Seed), Investors in MarketingTech (Seed), Investors in Pharmaceuticals (Seed), Investors in Supply Chain Tech (Seed), Investors in Therapeutics (Seed)"
18,Alex Crisses,General Atlantic,https://signal.nfx.com/firms/general-atlantic,Managing Director,$25.0M,($20.0M - $100.0M),Investors in New York (NY),"Investors in AI (Series B), Investors in FinTech (Series B), Investors in Human Capital/HRTech (Series B), Investors in LegalTech (Series B), Investors in SaaS (Series B), Investors in New York City (Other Lists), Investors in New York City (Other Lists)"
19,Daniel Santamarina,Dux Capital,https://signal.nfx.com/firms/dux-capital,Managing Partner,$500K,($50K - $2.0M),"Investors in LatAm (Latin America),","Investors in Direct-to-Consumer (DTC) (Pre-seed), Investors in E-commerce (Pre-seed), Investors in Enterprise (Pre-seed), Investors in FinTech (Pre-seed), Investors in Food and Beverage (Pre-seed), Investors in Hardware (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Logistics (Pre-seed), Investors in Marketplaces (Pre-seed), Investors in TransportationTech (Pre-seed), Investors in Direct-to-Consumer (DTC) (Seed), Investors in E-commerce (Seed), Investors in Enterprise (Seed), Investors in FinTech (Seed), Investors in Food and Beverage (Seed), Investors in Hardware (Seed), Investors in LegalTech (Seed), Investors in Logistics (Seed), Investors in Marketplaces (Seed), Investors in TransportationTech (Seed), Investors in Diverse Investors (Other Lists), Investors in LatAm (Latin America) (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
20,Jason Mackey,Athenian Capital,https://signal.nfx.com/firms/athenian-capital,General Partner,$425K,($50K - $1M),"Investors in United Kingdom,","Investors in AI (Pre-seed), Investors in AR/VR (Pre-seed), Investors in Cybersecurity (Pre-seed), Investors in FinTech (Pre-seed), Investors in Gaming/eSports (Pre-seed), Investors in GovTech (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Payments (Pre-seed), Investors in Web3/Blockchain (Pre-seed), Investors in Web3/Crypto (Pre-seed), Investors in AI (Seed), Investors in AR/VR (Seed), Investors in Cybersecurity (Seed), Investors in FinTech (Seed), Investors in Gaming/eSports (Seed), Investors in GovTech (Seed), Investors in LegalTech (Seed), Investors in Payments (Seed), Investors in Web3/Blockchain (Seed), Investors in Web3/Crypto (Seed), Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in Boston / New England (Other Lists), Investors in Diverse Investors (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
21,Niklas Anzinger,Infinita Fund,https://signal.nfx.com/firms/infinita-fund,General Partner,$100K,($50K - $200K),"Investors in United States,","Investors in BioTech (Seed), Investors in Hardware (Seed), Investors in LegalTech (Seed), Investors in Web3/Blockchain (Seed), Investors in LatAm (Latin America) (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
22,Wa'il Ashshowwaf,Unstuck Labs,https://signal.nfx.com/firms/unstuck-labs,Managing Partner,$50K,($15K - $500K),"Investors in Saudi Arabia,","Investors in AI (Pre-seed), Investors in Consumer Internet (Pre-seed), Investors in Direct-to-Consumer (DTC) (Pre-seed), Investors in FinTech (Pre-seed), Investors in Food and Beverage (Pre-seed), Investors in Future of Work (Pre-seed), Investors in Gig Economy (Pre-seed), Investors in GovTech (Pre-seed), Investors in Impact (Pre-seed), Investors in LegalTech (Pre-seed), Investors in AI (Seed), Investors in Consumer Internet (Seed), Investors in Direct-to-Consumer (DTC) (Seed), Investors in FinTech (Seed), Investors in Food and Beverage (Seed), Investors in Future of Work (Seed), Investors in Gig Economy (Seed), Investors in GovTech (Seed), Investors in Impact (Seed), Investors in LegalTech (Seed), Investors in Diverse Investors (Other Lists), Investors in Washington, D.C. (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
23,Ben Jen,Ben Jen Holdings SLLC,https://signal.nfx.com/firms/ben-jen-holdings-sllc,Principal,$100K,($10K - $250K),"Investors in New York (NY),","Investors in Direct-to-Consumer (DTC) (Pre-seed), Investors in Education (Pre-seed), Investors in Enterprise Applications (Pre-seed), Investors in Enterprise (Pre-seed), Investors in FinTech (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Real Estate/PropTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Space (Pre-seed), Investors in Direct-to-Consumer (DTC) (Seed), Investors in Education (Seed), Investors in Enterprise Applications (Seed), Investors in Enterprise (Seed), Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in Real Estate/PropTech (Seed), Investors in SaaS (Seed), Investors in Space (Seed), Investors in Direct-to-Consumer (DTC) (Series A), Investors in Education (Series A), Investors in Enterprise Applications (Series A), Investors in Enterprise (Series A), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in Real Estate/PropTech (Series A), Investors in SaaS (Series A), Investors in Space (Series A), Investors in Direct-to-Consumer (DTC) (Series B), Investors in Education (Series B), Investors in Enterprise Applications (Series B), Investors in Enterprise (Series B), Investors in FinTech (Series B), Investors in LegalTech (Series B), Investors in Real Estate/PropTech (Series B), Investors in SaaS (Series B), Investors in Space (Series B), Investors in Boston / New England (Other Lists), Investors in Boston / New England (Other Lists), Investors in Diverse Investors (Other Lists), Investors in New York City (Other Lists), Investors in New York City (Other Lists), Investors in New York City (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
24,John Ounjian,Further Ventures,https://signal.nfx.com/firms/further-ventures,Venture Partner,$1.5M,($100K - $5.0M),Investors in Middle East,"Investors in AI (Pre-seed), Investors in BioTech (Pre-seed), Investors in ConstructionTech (Pre-seed), Investors in Health IT (Pre-seed), Investors in LegalTech (Pre-seed), Investors in MarketingTech (Pre-seed), Investors in Pharmaceuticals (Pre-seed), Investors in Supply Chain Tech (Pre-seed), Investors in Therapeutics (Pre-seed), Investors in Web3/Crypto (Pre-seed), Investors in AI (Seed), Investors in BioTech (Seed), Investors in ConstructionTech (Seed), Investors in Health IT (Seed), Investors in LegalTech (Seed), Investors in MarketingTech (Seed), Investors in Pharmaceuticals (Seed), Investors in Supply Chain Tech (Seed), Investors in Therapeutics (Seed), Investors in Web3/Crypto (Seed)"
25,Emma Silverman,TMV,https://signal.nfx.com/firms/tmv,Principal,$1.5M,($100K - $5.0M),Investors in New York,"Investors in Creator/Passion Economy (Seed), Investors in FinTech (Seed), Investors in Future of Work (Seed), Investors in LegalTech (Seed), Investors in TransportationTech (Seed), Investors in Creator/Passion Economy (Series A), Investors in FinTech (Series A), Investors in Future of Work (Series A), Investors in LegalTech (Series A), Investors in TransportationTech (Series A), Investors in New York City (Other Lists)"
26,Justin M. Weber,Family Office,https://signal.nfx.com/firms/family-office,Partner,$100.0M,($50.0M - $100.0M),Investors in Chicago (IL),"Investors in EnergyTech (Pre-seed), Investors in FinTech (Pre-seed), Investors in Future of Work (Pre-seed), Investors in Gig Economy (Pre-seed), Investors in GovTech (Pre-seed), Investors in Health & Hospital Services (Pre-seed), Investors in Impact (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Logistics (Pre-seed), Investors in Real Estate/PropTech (Pre-seed), Investors in EnergyTech (Seed), Investors in FinTech (Seed), Investors in Future of Work (Seed), Investors in Gig Economy (Seed), Investors in GovTech (Seed), Investors in Health & Hospital Services (Seed), Investors in Impact (Seed), Investors in LegalTech (Seed), Investors in Logistics (Seed), Investors in Real Estate/PropTech (Seed), Investors in EnergyTech (Series A), Investors in FinTech (Series A), Investors in Future of Work (Series A), Investors in Gig Economy (Series A), Investors in GovTech (Series A), Investors in Health & Hospital Services (Series A), Investors in Impact (Series A), Investors in LegalTech (Series A), Investors in Logistics (Series A), Investors in Real Estate/PropTech (Series A), Investors in EnergyTech (Series B), Investors in FinTech (Series B), Investors in Future of Work (Series B), Investors in Gig Economy (Series B), Investors in GovTech (Series B), Investors in Health & Hospital Services (Series B), Investors in Impact (Series B), Investors in LegalTech (Series B), Investors in Logistics (Series B), Investors in Real Estate/PropTech (Series B), Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in Diverse Investors (Other Lists), Investors in Midwest (Other Lists), Investors in Midwest (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists), Investors in Investors who were founders (Other Lists)"
27,Victor Bornstein,Everywhere Ventures (The Fund),https://signal.nfx.com/firms/the-fund,Partner,$100K,($50K - $250K),Investors in Boulder (CO),"Investors in AI (Seed), Investors in Digital Health (Seed), Investors in Health & Hospital Services (Seed), Investors in Health IT (Seed), Investors in LegalTech (Seed), Investors in AI (Series A), Investors in Digital Health (Series A), Investors in Health & Hospital Services (Series A), Investors in Health IT (Series A), Investors in LegalTech (Series A), Investors in Colorado / Utah (Other Lists), Investors in Colorado / Utah (Other Lists)"
28,Robert Berluti,RTP Global,https://signal.nfx.com/firms/rtp-global,Investor,$8.0M,($1M - $15.0M),Investors in United States,"Investors in AI (Seed), Investors in Cloud Infrastructure (Seed), Investors in ConstructionTech (Seed), Investors in Cybersecurity (Seed), Investors in Developer Tools (Seed), Investors in Enterprise Applications (Seed), Investors in Generative Tech/AI (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in Wellness & Fitness (Seed), Investors in AI (Series A), Investors in Cloud Infrastructure (Series A), Investors in ConstructionTech (Series A), Investors in Cybersecurity (Series A), Investors in Developer Tools (Series A), Investors in Enterprise Applications (Series A), Investors in Generative Tech/AI (Series A), Investors in LegalTech (Series A), Investors in SaaS (Series A), Investors in Wellness & Fitness (Series A), Investors in AI (Series B), Investors in Cloud Infrastructure (Series B), Investors in ConstructionTech (Series B), Investors in Cybersecurity (Series B), Investors in Developer Tools (Series B), Investors in Enterprise Applications (Series B), Investors in Generative Tech/AI (Series B), Investors in LegalTech (Series B), Investors in SaaS (Series B), Investors in Wellness & Fitness (Series B), Investors in New York City (Other Lists)"
29,Omar Hakim,Aggie Angel Network,https://signal.nfx.com/firms/aggie-angel-network,Managing Director,$1.5M,($100K - $5.0M),Investors in Austin (TX),"Investors in Education (Pre-seed), Investors in Enterprise Infrastructure (Pre-seed), Investors in FinTech (Pre-seed), Investors in Games (Pre-seed), Investors in Gaming/eSports (Pre-seed), Investors in IoT (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Education (Seed), Investors in Enterprise Infrastructure (Seed), Investors in FinTech (Seed), Investors in Games (Seed), Investors in Gaming/eSports (Seed), Investors in IoT (Seed), Investors in LegalTech (Seed), Investors in Austin (Other Lists), Investors in Austin (Other Lists)"
30,Luis F Trevino,Beamonte Investments,https://signal.nfx.com/firms/beamonte-investments,Managing Director,$2.5M,($500K - $100.0M),"Investors in United Kingdom,","Investors in Advertising (Seed), Investors in Cosmetics (Seed), Investors in Fashion (Seed), Investors in FinTech (Seed), Investors in Food and Beverage (Seed), Investors in Future of Work (Seed), Investors in LegalTech (Seed), Investors in MarketingTech (Seed), Investors in Space (Seed), Investors in Travel (Seed), Investors in Advertising (Series A), Investors in Cosmetics (Series A), Investors in Fashion (Series A), Investors in FinTech (Series A), Investors in Food and Beverage (Series A), Investors in Future of Work (Series A), Investors in LegalTech (Series A), Investors in MarketingTech (Series A), Investors in Space (Series A), Investors in Travel (Series A), Investors in Advertising (Series B), Investors in Cosmetics (Series B), Investors in Fashion (Series B), Investors in FinTech (Series B), Investors in Food and Beverage (Series B), Investors in Future of Work (Series B), Investors in LegalTech (Series B), Investors in MarketingTech (Series B), Investors in Space (Series B), Investors in Travel (Series B), Investors in Canada (Other Lists), Investors in Diverse Investors (Other Lists), Investors in Female Investors (Other Lists), Investors in New York City (Other Lists)"
31,Pierre Entremont,Frst,https://signal.nfx.com/firms/frst,Managing Partner,$1.5M,($100K - $5.0M),Investors in Paris (France),"Investors in AI (Seed), Investors in BioTech (Seed), Investors in Insurance (Seed), Investors in LegalTech (Seed), Investors in Web3/Crypto (Seed), Investors in AI (Series A), Investors in BioTech (Series A), Investors in Insurance (Series A), Investors in LegalTech (Series A), Investors in Web3/Crypto (Series A), Investors in AI (Series B), Investors in BioTech (Series B), Investors in Insurance (Series B), Investors in LegalTech (Series B), Investors in Web3/Crypto (Series B)"
